,island,site,species,trt,plantdt,checkdt,numplant,alive,dead,deer.abundance,pig.abundance,growtime,growtime_st,survival.1,survival.2,propalive
77,guam,racefr,premna,ungulate,12/7/2010,7/1/2011,14,0,14,low,low,206 days,-0.32336045,0,14,0
78,guam,ritdgate,premna,ungulate,5/15/2010,7/1/2011,14,3,11,high,high,412 days,1.61201932,3,11,0.21428571
79,guam,ritdgrid,premna,ungulate,12/8/2010,7/1/2011,14,4,10,high,high,205 days,-0.3327555,4,10,0.28571429
80,guam,sblas,premna,ungulate,12/7/2010,6/30/2011,14,1,13,high,low,205 days,-0.3327555,1,13,0.07142857
81,guam,ann,neiso,ungulate,5/8/2010,6/30/2011,7,7,0,low,high,418 days,1.66838961,7,0,1
82,guam,ans,neiso,ungulate,5/11/2010,6/30/2011,7,4,3,low,low,415 days,1.64020447,4,3,0.57142857
83,guam,nblas,neiso,ungulate,5/12/2010,6/30/2011,7,7,0,low,low,414 days,1.63080942,7,0,1
84,guam,race,neiso,ungulate,5/11/2010,7/1/2011,7,7,0,high,high,416 days,1.64959951,7,0,1
85,guam,racefr,neiso,ungulate,5/12/2010,7/1/2011,7,7,0,low,low,415 days,1.64020447,7,0,1
86,guam,ritdgate,neiso,ungulate,6/17/2010,7/1/2011,7,3,4,high,high,379 days,1.30198276,3,4,0.42857143
87,guam,ritdgrid,neiso,ungulate,5/16/2010,7/1/2011,7,5,2,high,high,411 days,1.60262428,5,2,0.71428571
88,guam,sblas,neiso,ungulate,5/14/2010,6/30/2011,7,6,1,high,low,412 days,1.61201932,6,1,0.85714286
89,guam,ann,aglaia,ungulate,11/11/2010,6/30/2011,14,12,2,low,high,231 days,-0.08848427,12,2,0.85714286
90,guam,ans,aglaia,ungulate,11/10/2010,6/30/2011,14,4,10,low,low,232 days,-0.07908922,4,10,0.28571429
91,guam,nblas,aglaia,ungulate,11/12/2010,6/30/2011,14,9,5,low,low,230 days,-0.09787931,9,5,0.64285714
92,guam,race,aglaia,ungulate,11/12/2010,7/1/2011,14,14,0,high,high,231 days,-0.08848427,14,0,1
93,guam,racefr,aglaia,ungulate,11/11/2010,7/1/2011,14,7,7,low,low,232 days,-0.07908922,7,7,0.5
94,guam,ritdgate,aglaia,ungulate,12/8/2010,7/1/2011,14,9,5,high,high,205 days,-0.3327555,9,5,0.64285714
95,guam,ritdgrid,aglaia,ungulate,11/13/2010,7/1/2011,14,13,1,high,high,230 days,-0.09787931,13,1,0.92857143
96,guam,sblas,aglaia,ungulate,11/12/2010,6/30/2011,14,8,6,high,low,230 days,-0.09787931,8,6,0.57142857
